Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Tissue,Treatment
SRR9637518,not applicable,RNA-Seq,300,7709918700,PRJNA548841,SAMN12165825,Plant,2617084968,ANHUI ACADEMY OF AGRICULTURAL SCIENCES,public,Tunisia,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX6399499,China,Asia,China,Illumina NovaSeq 6000,TNS-95-J1,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Punica granatum,ILLUMINA,2020-07-30T00:00:00Z,TNS-95-J1,SRP212814,Outer seed coats,T-O-95-1
SRR9637519,not applicable,RNA-Seq,300,8194372800,PRJNA548841,SAMN12165826,Plant,2776332125,ANHUI ACADEMY OF AGRICULTURAL SCIENCES,public,Tunisia,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX6399498,China,Asia,China,Illumina NovaSeq 6000,TNS-95-J2,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Punica granatum,ILLUMINA,2020-07-30T00:00:00Z,TNS-95-J2,SRP212814,Outer seed coats,T-O-95-2
SRR9637520,not applicable,RNA-Seq,300,8155890600,PRJNA548841,SAMN12165821,Plant,2747848335,ANHUI ACADEMY OF AGRICULTURAL SCIENCES,public,Dabenzi,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX6399497,China,Asia,China,Illumina NovaSeq 6000,DBZ-140-Z3,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Punica granatum,ILLUMINA,2020-07-30T00:00:00Z,DBZ-140-Z3,SRP212814,Inner seed coats,D-I-140-3
SRR9637521,not applicable,RNA-Seq,300,6759005100,PRJNA548841,SAMN12165822,Plant,2439829654,ANHUI ACADEMY OF AGRICULTURAL SCIENCES,public,Tunisia,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6399496,China,Asia,China,Illumina NovaSeq 6000,TNS-50-1,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Punica granatum,ILLUMINA,2020-07-30T00:00:00Z,TNS-50-1,SRP212814,whole seed coats,T-50-1
SRR9637522,not applicable,RNA-Seq,300,7596551100,PRJNA548841,SAMN12165823,Plant,2593155820,ANHUI ACADEMY OF AGRICULTURAL SCIENCES,public,Tunisia,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX6399495,China,Asia,China,Illumina NovaSeq 6000,TNS-50-2,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Punica granatum,ILLUMINA,2020-07-30T00:00:00Z,TNS-50-2,SRP212814,whole seed coats,T-50-2
SRR9637523,not applicable,RNA-Seq,228,4999912650,PRJNA548841,SAMN12165824,Plant,1767747768,ANHUI ACADEMY OF AGRICULTURAL SCIENCES,public,Tunisia,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX6399494,China,Asia,China,Illumina NovaSeq 6000,TNS-50-3,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Punica granatum,ILLUMINA,2020-07-30T00:00:00Z,TNS-50-3,SRP212814,whole seed coats,T-50-3
SRR9637524,not applicable,RNA-Seq,300,7884770400,PRJNA548841,SAMN12165817,Plant,2670263889,ANHUI ACADEMY OF AGRICULTURAL SCIENCES,public,Dabenzi,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX6399493,China,Asia,China,Illumina NovaSeq 6000,DBZ-95-Z2,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Punica granatum,ILLUMINA,2020-07-30T00:00:00Z,DBZ-95-Z2,SRP212814,Inner seed coats,D-I-95-2
SRR9637525,not applicable,RNA-Seq,300,8736670800,PRJNA548841,SAMN12165818,Plant,2963422619,ANHUI ACADEMY OF AGRICULTURAL SCIENCES,public,Dabenzi,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX6399492,China,Asia,China,Illumina NovaSeq 6000,DBZ-95-Z3,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Punica granatum,ILLUMINA,2020-07-30T00:00:00Z,DBZ-95-Z3,SRP212814,Inner seed coats,D-I-95-3
SRR9637526,not applicable,RNA-Seq,300,9314729400,PRJNA548841,SAMN12165819,Plant,3166096517,ANHUI ACADEMY OF AGRICULTURAL SCIENCES,public,Dabenzi,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX6399491,China,Asia,China,Illumina NovaSeq 6000,DBZ-140-Z1,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Punica granatum,ILLUMINA,2020-07-30T00:00:00Z,DBZ-140-Z1,SRP212814,Inner seed coats,D-I-140-1
SRR9637527,not applicable,RNA-Seq,300,9592122000,PRJNA548841,SAMN12165820,Plant,3228105710,ANHUI ACADEMY OF AGRICULTURAL SCIENCES,public,Dabenzi,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX6399490,China,Asia,China,Illumina NovaSeq 6000,DBZ-140-Z2,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Punica granatum,ILLUMINA,2020-07-30T00:00:00Z,DBZ-140-Z2,SRP212814,Inner seed coats,D-I-140-2
SRR9637528,not applicable,RNA-Seq,300,6844356000,PRJNA548841,SAMN12165836,Plant,2311974734,ANHUI ACADEMY OF AGRICULTURAL SCIENCES,public,Tunisia,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX6399489,China,Asia,China,Illumina NovaSeq 6000,T-140-Z3,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Punica granatum,ILLUMINA,2020-07-30T00:00:00Z,T-140-Z3,SRP212814,Inner seed coats,T-I-140-3
SRR9637529,not applicable,RNA-Seq,300,7136435700,PRJNA548841,SAMN12165835,Plant,2438173332,ANHUI ACADEMY OF AGRICULTURAL SCIENCES,public,Tunisia,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX6399488,China,Asia,China,Illumina NovaSeq 6000,T-140-Z2,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Punica granatum,ILLUMINA,2020-07-30T00:00:00Z,T-140-Z2,SRP212814,Inner seed coats,T-I-140-2
